message_id,site_id,zone,asset_type,sensor,measured_at,value,unit,sequence,topic,received_at,retained
battery-shelter-01-0000,base-projetee-alpha,battery-shelter-01,drone_battery_storage,temperature,2026-10-19T09:40:00Z,34.1,celsius,0,airbase/batch002/battery-shelter-01/temperature/0000,2026-10-19T09:41:00Z,True
battery-shelter-01-0001,base-projetee-alpha,battery-shelter-01,drone_battery_storage,temperature,2026-10-19T09:45:00Z,34.6,celsius,1,airbase/batch002/battery-shelter-01/temperature/0001,2026-10-19T09:46:00Z,True
battery-shelter-01-0005,base-projetee-alpha,battery-shelter-01,drone_battery_storage,temperature,2026-10-19T10:05:00Z,36.2,celsius,5,airbase/batch002/battery-shelter-01/temperature/0005,2026-10-19T10:06:00Z,True
comms-shelter-01-0000,base-projetee-alpha,comms-shelter-01,communications,temperature,2026-10-19T09:40:00Z,29.3,celsius,0,airbase/batch002/comms-shelter-01/temperature/0000,2026-10-19T09:41:00Z,True
comms-shelter-01-0001,base-projetee-alpha,comms-shelter-01,communications,temperature,2026-10-19T09:45:00Z,29.5,celsius,1,airbase/batch002/comms-shelter-01/temperature/0001,2026-10-19T09:46:00Z,True
comms-shelter-01-0002,base-projetee-alpha,comms-shelter-01,communications,temperature,2026-10-19T09:50:00Z,29.6,celsius,2,airbase/batch002/comms-shelter-01/temperature/0002,2026-10-19T09:51:00Z,True
comms-shelter-01-0003,base-projetee-alpha,comms-shelter-01,communications,temperature,2026-10-19T09:55:00Z,29.8,celsius,3,airbase/batch002/comms-shelter-01/temperature/0003,2026-10-19T09:56:00Z,True
comms-shelter-01-0004,base-projetee-alpha,comms-shelter-01,communications,temperature,2026-10-19T10:00:00Z,29.9,celsius,4,airbase/batch002/comms-shelter-01/temperature/0004,2026-10-19T10:01:00Z,True
it-room-01-0000,base-projetee-alpha,it-room-01,tactical_it,temperature,2026-10-19T09:40:00Z,31.0,celsius,0,airbase/batch002/it-room-01/temperature/0000,2026-10-19T09:41:00Z,True
it-room-01-0001,base-projetee-alpha,it-room-01,tactical_it,temperature,2026-10-19T09:45:00Z,31.2,celsius,1,airbase/batch002/it-room-01/temperature/0001,2026-10-19T09:46:00Z,True
it-room-01-0004,base-projetee-alpha,it-room-01,tactical_it,temperature,2026-10-19T10:00:00Z,31.6,celsius,4,airbase/batch002/it-room-01/temperature/0004,2026-10-19T10:01:00Z,True
maintenance-zone-01-0000,base-projetee-alpha,maintenance-zone-01,light_maintenance,temperature,2026-10-19T09:40:00Z,30.1,celsius,0,airbase/batch002/maintenance-zone-01/temperature/0000,2026-10-19T09:41:00Z,True
maintenance-zone-01-0001,base-projetee-alpha,maintenance-zone-01,light_maintenance,temperature,2026-10-19T09:45:00Z,30.3,celsius,1,airbase/batch002/maintenance-zone-01/temperature/0001,2026-10-19T09:46:00Z,True
maintenance-zone-01-0003,base-projetee-alpha,maintenance-zone-01,light_maintenance,temperature,2026-10-19T09:55:00Z,30.6,celsius,3,airbase/batch002/maintenance-zone-01/temperature/0003,2026-10-19T09:56:00Z,True
maintenance-zone-01-0004,base-projetee-alpha,maintenance-zone-01,light_maintenance,temperature,2026-10-19T10:00:00Z,30.7,celsius,4,airbase/batch002/maintenance-zone-01/temperature/0004,2026-10-19T10:01:00Z,True
optronics-shelter-01-0000,base-projetee-alpha,optronics-shelter-01,optronics,temperature,2026-10-19T09:40:00Z,27.9,celsius,0,airbase/batch002/optronics-shelter-01/temperature/0000,2026-10-19T09:41:00Z,True
optronics-shelter-01-0001,base-projetee-alpha,optronics-shelter-01,optronics,temperature,2026-10-19T09:45:00Z,28.0,celsius,1,airbase/batch002/optronics-shelter-01/temperature/0001,2026-10-19T09:46:00Z,True
optronics-shelter-01-0003,base-projetee-alpha,optronics-shelter-01,optronics,temperature,2026-10-19T09:55:00Z,28.2,celsius,3,airbase/batch002/optronics-shelter-01/temperature/0003,2026-10-19T09:56:00Z,True
optronics-shelter-01-0004,base-projetee-alpha,optronics-shelter-01,optronics,temperature,2026-10-19T10:00:00Z,28.3,celsius,4,airbase/batch002/optronics-shelter-01/temperature/0004,2026-10-19T10:01:00Z,True
